Signature,Time,Action,From,Amount,Value,Platform,Source
8ZLyxceC5MNFN2gPdK7gY1ZJDueBegKRZmBaW9YJFD49HXpmdxohMvycYZR9xt3jnUvRniFbVUPLQRYdiUoAwXy,2025-04-12 15:49:37,ACTIVITY_AGG_TOKEN_SWAP,53m7grMCmz2W2LRB1L2PV2uyk7k63w4X74jX4GfWfSdc,0.09915,13.1780265,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
4kynUfbNDmrDGsheM4R5bkGgivadZms7bkGagNtT5PzajAYrztAKtrBDVnCv4SvZ663GjwSqTVk5mfqeayAJAuYa,2025-04-12 15:13:17,ACTIVITY_AGG_TOKEN_SWAP,E6cAAfTnaQW5cA5s52CQ6yR1oj6b4Gh9pHGTBaeixfuW,1287357.45522738,123.77893696834,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
3ih9qVXE6Ng35cbYFnYkuMS56QoSWi2aJErW2iQSjZUWt7HQzZzhyuQZWkQ1FxEGdXdvFkJAdb5CmzbMGRq4D5ki,2025-04-12 14:43:40,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158571.9734983,15.860809,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, 2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
4sJmboA9jHH52onXF4Fjy1SUXgxUm2BCCtbisDmbXjDxouAJMWQT81uyef8FM7vQjUnmggS6KEWjRuRXN88qLc3J,2025-04-12 14:41:02,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158673.49204208,15.970535,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
tZfDzjnjvnZgueNPg6pzNLizvAKVnnv5BcnyKXPiKjn4GkSHpgKcWcpe9dXC4h7WcozTneWanYkAkABE1L8V79o,2025-04-12 14:41:00,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,447284.34504792,45.831294,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
5ytnTJ4ThYiT9xfe3jZYDKJ4fnHSvx43do4an3uXZxWUjvaHYtnngL6m2GvDadKj8B1B5xcyDRLoL1JyLKpwDr7j,2025-04-12 14:41:00,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,447284.34504792,47.066522,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
3bwvwYSPyEoc6cygNwe1HyJgV6ZPN1mBchhNforwX7x7Rc2a9jj5wso24Waz3WwAXyutjE17wWmQPspVy1Ad7AgU,2025-04-12 14:40:53,ACTIVITY_AGG_TOKEN_SWAP,E6cAAfTnaQW5cA5s52CQ6yR1oj6b4Gh9pHGTBaeixfuW,1.0,132.15,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
3pxZMrjFewy7QJjatpbx1MNN6bvjACiQhdx3urnVgDM96F2QSiC1meWxuh4EcxJ84w6knshfmfQVpE7tjRrnWuWf,2025-04-12 13:42:01,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158673.49204208,15.890608,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe"
2dqyL8sG8HdncKRtTVdisCNQ19JvBEBJX9bFNTkTxodgm6LS4g7wmbBmN6XztY7N14AU7Q1qbtg9dnDQtzSj8uor,2025-04-12 13:32:35,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,158724.25130096,15.887905,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
3QJXTTcLu3XT1F6gSsqEJr5W6AxkkkC6Tgot1xoXnL6qjYraJzFMpmf8zmTuPNh3k4vSCNRo1ecqELMnAt1JhqfQ,2025-04-12 07:31:39,ACTIVITY_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,158775.05932515,15.749478616759998,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
